2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
13189199.0,14011817.0,15266929.0,16211639.0,17640859.0,18577710.0,19506284.0,20377712.0,20032348.0,20209379.0,21677624.0,22540262.0,22605364.0,22854758.0
8139599.0,8866102.0,9500778.0,9958857.0,10485501.0,11079224.0,11887509.0,12449844.0,12761001.0,12993868.0,13237128.0,13829200.0,14282030.0,15013695.0
12721227.0,13598638.0,14093258.0,15002697.0,16458760.0,17082092.0,23363965.0,19669609.0,19179294.0,19343860.0,20323325.0,20393896.0,21391246.0,20920432.0
17961468.0,18677585.0,19340073.0,20327677.0,22524248.0,23441786.0,32650534.0,27066537.0,27509315.0,28545580.0,29238599.0,29894213.0,31395954.0,31336281.0
68245000.0,71335000.0,73438000.0,77390000.0,82195000.0,84427000.0,114773000.0,92242000.0,84284000.0,89434000.0,97696000.0,100759000.0,107307000.0,103700000.0
33845890.0,36295992.0,38004823.0,44190462.0,43677226.0,42210468.0,52792124.0,47501312.0,44137267.0,43749500.0,48339563.0,48455006.0,50428317.0,50447708.0
28190527.0,30167583.0,31227558.0,32952955.0,36033192.0,38111914.0,40271673.0,42299028.0,41427641.0,43090693.0,45459821.0,46632038.0,48126767.0,49709355.0
12503821.0,13462340.0,14206525.0,15243572.0,16372043.0,17052072.0,23401901.0,20760869.0,19351289.0,20522588.0,21503161.0,22517698.0,23072375.0,23299723.0
2923028.0,2945375.0,2979606.0,3169008.0,3332556.0,3445577.0,3519454.0,3829616.0,3745816.0,3819029.0,3756017.0,3864869.0,3854354.0,3946713.0
15540004.0,16638327.0,17192036.0,18389785.0,19822526.0,21625026.0,27632800.0,24900625.0,25004081.0,25665283.0,26784954.0,27263689.0,27304586.0,27724507.0
20219506.0,21389083.0,22841721.0,24076078.0,25724476.0,27133354.0,37596600.0,30967610.0,31017970.0,32365108.0,33773953.0,35342309.0,37658420.0,39195495.0
60304521.0,63189741.0,65267466.0,64524000.0,69351000.0,72357000.0,97560000.0,73847000.0,65002000.0,70698000.0,71140000.0,73344000.0,77039000.0,73482000.0
8450848.0,9313388.0,10101268.0,11291317.0,11641664.0,12310835.0,14444605.0,13831806.0,14400640.0,14686263.0,15259930.0,15818277.0,16539771.0,16395031.0
89275000.0,96108000.0,104400000.0,113758000.0,123157000.0,131280000.0,169304000.0,151011000.0,151473000.0,152992000.0,161132000.0,166241000.0,171991000.0,171906000.0
36788828.0,39815352.0,40892008.0,43121787.0,47620106.0,49756734.0,67005030.0,52626772.0,53821985.0,55572545.0,59898122.0,61514220.0,63908106.0,63453677.0
3183709.0,3364878.0,3632634.0,3613581.0,3921149.0,4000129.0,5059150.0,4253663.0,4307144.0,4190396.0,4364345.0,4250498.0,4360997.0,4375142.0
54730948.0,59161701.0,60485905.0,66141926.0,68918999.0,74031222.0,108065783.0,83715229.0,92864175.0,95347354.0,99561559.0,101617744.0,106599514.0,107377221.0
4671570.0,4978769.0,5250304.0,5616137.0,5747150.0,6029668.0,6317579.0,6724961.0,6833904.0,7000608.0,7155779.0,6924636.0,7250596.0,7253218.0
17932938.0,19464353.0,20560202.0,21629119.0,23874807.0,25073445.0,34128755.0,27848851.0,28313332.0,28128240.0,29506830.0,29454150.0,30638153.0,30716490.0
93925768.0,100147739.0,104916756.0,109861257.0,119282550.0,123286129.0,172854916.0,135519709.0,135277746.0,142077135.0,152486555.0,155006606.0,159830154.0,164233253.0
19458438.0,19938256.0,20337990.0,20489600.0,22502878.0,22792880.0,28912467.0,26080659.0,26063194.0,26324931.0,26378099.0,27317952.0,28005356.0,27669568.0
59345414.0,62544160.0,62444397.0,65472871.0,70109396.0,72450322.0,95600470.0,76365187.0,79363536.0,78536129.0,79722039.0,80996988.0,82192134.0,81862680.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37430788.0,37637941.0,39230998.0,40602149.0,43476194.0,46723393.0,62540034.0,52451290.0,52600881.0,54070201.0,56963303.0,58751799.0,61781211.0,63185233.0
12179893.0,12887547.0,13579290.0,14580398.0,15658930.0,17273280.0,18488983.0,20293804.0,19468254.0,19463675.0,20170062.0,20918591.0,21414633.0,22376890.0
70136272.0,74007606.0,77222394.0,78743107.0,83929730.0,75918099.0,80448243.0,83496925.0,83759620.0,85075902.0,87773548.0,91359833.0,91700269.0,84858213.0
3424618.0,3585416.0,3616559.0,3628453.0,3825972.0,3869624.0,3866292.0,4019509.0,4124942.0,4105540.0,4143921.0,4051240.0,4126273.0,4095928.0
209622000.0,208525000.0,204344000.0,211898000.0,270874000.0,279086000.0,374467000.0,305432000.0,305210000.0,304370000.0,313069000.0,314620000.0,321535000.0,326647000.0
3700486.0,3883467.0,3989715.0,4440492.0,4454604.0,4426362.0,5286532.0,4724540.0,4486859.0,4371558.0,4786648.0,4906068.0,5134598.0,5167038.0
8651290.0,8959591.0,9305837.0,9403256.0,9330901.0,9731613.0,10332812.0,10823478.0,10978122.0,11020375.0,11389097.0,11880886.0,12006633.0,12639441.0
14400223.0,15412069.0,17284521.0,18643775.0,20721940.0,21795507.0,23537458.0,24770356.0,25224497.0,26052515.0,26592584.0,26945745.0,27866472.0,28797677.0
4396862.0,4654201.0,4844161.0,5113182.0,5516979.0,5915841.0,7088353.0,6340748.0,6412867.0,6345040.0,6691378.0,7045914.0,7016016.0,7188717.0
25853695.0,26653720.0,27532855.0,28307598.0,30790394.0,34059233.0,45755940.0,38249181.0,39087800.0,36148345.0,41301709.0,42666655.0,43637467.0,44202229.0
10595473.0,11377367.0,12032553.0,12885270.0,14321300.0,14853727.0,15427893.0,15345795.0,16001735.0,16134904.0,16985013.0,16611324.0,15777424.0,15957890.0
13053881.0,13347487.0,13739069.0,14302684.0,15231182.0,15806516.0,21770958.0,17676468.0,18184933.0,18947268.0,18954614.0,18810571.0,19604569.0,19618104.0
26560015.0,24408259.0,25088969.0,25562117.0,27228735.0,27661387.0,36681537.0,31244141.0,31074028.0,30952093.0,32771856.0,32958749.0,33978236.0,34539230.0
6785275.0,6981677.0,7506524.0,7789056.0,8285176.0,9138497.0,9349387.0,9828316.0,9423614.0,9285039.0,10024384.0,10327874.0,10157341.0,10201601.0
12275311.0,13216500.0,13984356.0,14242000.0,15428000.0,15836000.0,21225000.0,16978000.0,16656000.0,17177000.0,18102000.0,18545000.0,18861000.0,19117000.0
3587624.0,4056275.0,4260081.0,4818591.0,4976808.0,5283567.0,5331077.0,5440338.0,5524057.0,5895593.0,5862930.0,5885453.0,6483107.0,6556450.0
32058531.0,32242788.0,34386092.0,36253672.0,39261170.0,41242537.0,56099065.0,48244440.0,49706628.0,51565751.0,52720499.0,53737674.0,55604951.0,55836777.0
73008000.0,75992000.0,80392000.0,81942000.0,88941000.0,94437000.0,123770000.0,103412000.0,101255000.0,102847000.0,112033000.0,113067000.0,116985000.0,121800000.0
22120726.0,22573932.0,23838499.0,25077649.0,27262086.0,28212264.0,34026981.0,31969128.0,30342499.0,30739549.0,32491645.0,32224464.0,33381585.0,33321255.0
9552216.0,10278464.0,11114108.0,11821811.0,12934219.0,13785208.0,16356932.0,14729305.0,14609129.0,14575527.0,14996229.0,15213918.0,15434472.0,15784850.0
69583833.0,73736502.0,75326596.0,78349396.0,93307731.0,99267133.0,133749494.0,106175816.0,99309776.0,101978309.0,111433666.0,111411471.0,113672829.0,110843185.0
10452226.0,11513538.0,11120913.0,12454897.0,13715412.0,14640597.0,15904783.0,16817011.0,17508656.0,17927638.0,18677886.0,19093395.0,19694996.0,19951990.0
7222183.0,7732158.0,8250918.0,8640144.0,9043502.0,9544770.0,10062275.0,10666570.0,10358074.0,10837057.0,11332311.0,11549668.0,11969987.0,12323644.0
49965000.0,52983000.0,55427000.0,57230000.0,62910000.0,66261000.0,89694000.0,73443000.0,72244000.0,73414000.0,76965000.0,79052000.0,82259000.0,82531000.0
71290000.0,76187000.0,79965000.0,83738000.0,91148000.0,95431000.0,128653000.0,106963000.0,106657000.0,109306000.0,114635000.0,119070000.0,123068000.0,119634000.0
