Municipality,2011,2012,2013,2014,2015
ANDOVER,0.154227623016,0.185969151272,0.207443929856,0.220995046399,0.241206442489
ANSONIA,0.10743438912,0.104967235872,0.113340687359,0.141936085035,0.197819705971
ASHFORD,0.0958843699193,0.117939489161,0.138451042768,0.127398076597,0.108327195429
AVON,0.0832026583612,0.0830798858035,0.0995077472529,0.102310182748,0.0938608185778
BARKHAMSTED,0.118926957465,0.136118496758,0.139393451731,0.125411117833,0.118352933467
BEACON FALLS,0.0461215495576,0.0457851938633,0.107723598562,0.151559528084,0.11245738035
BERLIN,0.120686233347,0.124703861334,0.138872412941,0.122433824002,0.124716837708
BETHANY,0.12497282264,0.139005806624,0.137481802623,0.141308916582,0.111096850551
BETHEL,0.108942444692,0.133998215769,0.153823410941,0.181867498993,0.205252874293
BETHLEHEM,0.093570246959,0.106116827001,0.13627767974,0.148869372021,0.134958292098
BLOOMFIELD,0.143825610009,0.137787170441,0.171624385119,0.186066973885,0.177505719752
BOLTON,0.0303346571648,0.0441858565947,0.0491391249269,0.0482822924136,0.0529251492137
BOZRAH,0.0260203401607,0.0501046872972,0.036288760284,0.0501245585566,0.038024351741
BRANFORD,0.158015618771,0.162676170289,0.168172360733,0.183875553061,0.201150614602
BRIDGEPORT,0.0219660116711,0.0174230412212,0.0233252666539,0.0236287628543,0.0241962808027
BRIDGEWATER,0.127841041446,0.128981846097,0.120013055501,0.140702644623,0.167996757163
BRISTOL,0.116698230262,0.125934139856,0.123663457599,0.130994559348,0.128062888171
BROOKFIELD,0.0752941753698,0.0852415094666,0.0605489133555,0.0686792458615,0.0576100506121
BROOKLYN,0.0718562286003,0.0791892050582,0.101170571296,0.110814026423,0.0734372592066
BURLINGTON,0.11585979427,0.128819546419,0.152991783002,0.138074635077,0.142185706601
CANAAN,0.171410160371,0.142543624721,0.126620499566,0.0886340409275,0.123894042373
CANTERBURY,0.148083125037,0.0970468729841,0.122781139887,0.131335387247,0.106179828167
CANTON,0.0991434243791,0.131410779727,0.137394706115,0.145098234691,0.140538624721
CHAPLIN,0.0862635788927,0.0641394399287,0.137812950714,0.121784239921,0.0787176244796
CHESHIRE,0.0789762195449,0.0859137555795,0.0879334720846,0.0840671709798,0.0824028209723
CHESTER,0.111996064149,0.106308600069,0.144061561887,0.154607011109,0.137285073342
CLINTON,0.152836275081,0.144299567454,0.143251125422,0.137239937437,0.126567018133
COLCHESTER,0.0694522176903,0.0793266237058,0.086436873965,0.0850998240023,0.0905266130482
COLEBROOK,0.176947136582,0.167558536272,0.19971035716,0.225619121004,0.22932876861
COLUMBIA,0.186099235098,0.22056414673,0.160845556913,0.170452179796,0.191322943958
CORNWALL,0.252830613759,0.216804058869,0.216086276945,0.227626168717,0.220921955872
COVENTRY,0.0754703788061,0.0804846227299,0.0899743251092,0.10008183708,0.102385903746
