Municipality,2011,2012,2013,2014,2015
CROMWELL,0.0962428593283,0.104960592807,0.137928260463,0.15783136655,0.15527605087
DANBURY,0.1006381123,0.0980107838499,0.095348649918,0.0990404962415,0.0927074492866
DARIEN,0.144795683032,0.136252663514,0.132494421149,0.120091973477,0.115633908937
DEEP RIVER,0.0121945218496,0.0172104889694,0.00554828285676,0.00730726868777,0.0236088594093
DERBY,0.0538159590644,0.0415158326096,0.0467106505649,0.0625594237034,0.0475239232163
DURHAM,0.0795588075731,0.0626588319622,0.0664751145449,0.0791709907158,0.0822986357479
EAST GRANBY,0.118552191204,0.142772734024,0.140002114343,0.139656648469,0.129476163742
EAST HADDAM,0.14242412504,0.140408595631,0.13634811572,0.128027353509,0.141893519182
EAST HAMPTON,0.106642270583,0.105924318306,0.117159573167,0.112521888325,0.116745148757
EAST HARTFORD,0.0782853974888,0.0781220257757,0.0718868679874,0.0728426740099,0.0797334943598
EAST HAVEN,0.0023241920322,0.00490013168286,0.01769556675,0.0278569497248,0.0415411493505
EAST LYME,0.0655812687017,0.0747642334524,0.0744482670088,0.0702760686526,0.072902000827
EAST WINDSOR,0.0982676867294,0.143673643504,0.158922419226,0.18984677404,0.198766792775
EASTFORD,0.201585618471,0.199801097608,0.239777853695,0.262839854208,0.279890884198
EASTON,0.080922218987,0.0904552157992,0.0852977741639,0.109027864559,0.124823468875
ELLINGTON,0.0497930144518,0.0661275118637,0.0929140977931,0.0389275795869,0.0340744957427
ENFIELD,0.104246827996,0.091750691011,0.101993107453,0.113845891796,0.123356631112
ESSEX,0.121283641095,0.117278198836,0.118842309981,0.122866710861,0.127234299565
FAIRFIELD,0.0509104986299,0.0522949127761,0.0600385587711,0.0702819178783,0.0800274455213
FARMINGTON,0.0832622234534,0.0860392071914,0.091724206808,0.0955489486132,0.102648022131
FRANKLIN,0.0450952451312,0.0644048949217,0.0859258174473,0.133069348416,0.110088157118
GLASTONBURY,0.110168155839,0.105670429657,0.139953933034,0.160537864493,0.151897345119
GOSHEN,0.147321501912,0.125565121693,0.140140922868,0.139232656244,0.16935579933
GRANBY,0.0578273959896,0.0399601945534,0.0514166607289,0.0641397428791,0.0582719525582
GREENWICH,0.0223516975856,0.0349995520196,0.0581576543095,0.0711132876045,0.0640828912058
GRISWOLD,0.0638783743722,0.051966320062,0.0781428984187,0.104792043828,0.105694613467
GROTON,0.0824642091915,0.0761773639461,0.0901954242344,0.0875319157224,0.0761527903069
GROTON (City of),0.247896502523,0.281464391908,0.290012396451,0.254047679217,0.214281265845
GUILFORD,0.0383479270327,0.048070223582,0.0569566135144,0.0626233152902,0.0711206853943
HADDAM,0.0940824541426,0.114386115451,0.128554617979,0.129301742441,0.140886565322
HAMDEN,0.00303954827565,0.0063467027696,0.008403838888,0.0106062401593,0.0147176815918
HAMPTON,0.16506739235,0.188402708273,0.17089705165,0.0830690111861,0.0915009195289
HARTFORD,0.0400951863028,0.0449354578951,0.0500834177821,0.0233637565734,0.0356755840919
HARTLAND,0.0977151329611,0.124487284294,0.140074462273,0.144617474105,0.151964707983
HARWINTON,0.150153403575,0.165387300436,0.170291888667,0.17885412911,0.16245224738
HEBRON,0.0895426522314,0.0863416218543,0.114689969918,0.141355486896,0.152230369079
KENT,0.243639394003,0.217395687873,0.200538794482,0.167681489088,0.163700256182
KILLINGLY,0.172297760514,0.140083266386,0.128156054923,0.12447149939,0.146901150898
KILLINGWORTH,0.124940438325,0.132321047484,0.162075326439,0.193995903902,0.183744048014
LEBANON,0.132825655499,0.116941270366,0.155622116447,0.158936575892,0.153523301068
LEDYARD,0.070385756172,0.0699126294147,0.0776218383972,0.0762931801509,0.0649138569856
LISBON,0.139597311257,0.152824846973,0.172232584879,0.168574228953,0.133395346133
LITCHFIELD,0.133452021945,0.151303799243,0.181736329951,0.166385249223,0.148664806696
LYME,0.0693807220625,0.103233331707,0.111116314344,0.0810165749842,0.111125512977
MADISON,0.112311191094,0.112957043975,0.0991394693683,0.107207366497,0.112936017078
MANCHESTER,0.0618992789808,0.0617539133262,0.0683679133995,0.0757717952355,0.095256931786
MANSFIELD,0.0423419203301,0.0480073115391,0.0572548546014,0.0648509092416,0.0769583244519
MARLBOROUGH,0.0891683327988,0.101733180341,0.114985625575,0.103463080378,0.0854409290827
MERIDEN,0.0945925561905,0.0865460349774,0.0798799055227,0.0823137465034,0.0817818909124
MIDDLEBURY,0.127860691425,0.136590861792,0.0960216783797,0.102239337122,0.0949011412238
MIDDLEFIELD,0.0884060471178,0.0975287349533,0.102211874272,0.0890460115044,0.0897823959778
MIDDLETOWN,0.096300876148,0.103258578841,0.107448987603,0.117259386476,0.144713635942
MILFORD,0.068872488549,0.0811946064102,0.0743691436476,0.0729656646653,0.0791618611954
MONROE,0.0421172193531,0.0497159197099,0.0565732146744,0.0692565019627,0.0725772337735
MONTVILLE,0.0537634333335,0.043675791969,0.117396636357,0.140398078213,0.141305857004
MORRIS,0.153829827245,0.163467696799,0.174841116443,0.185932226552,0.175027491352
NAUGATUCK,0.0982962226752,0.103536350255,0.111214303146,0.115704655792,0.120495797146
NEW BRITAIN,0.055166378923,0.0529494761229,0.0545271141974,0.0215638925323,0.0484103611996
NEW CANAAN,0.117105585816,0.126586137464,0.140135195797,0.146521158279,0.16591723285
NEW FAIRFIELD,0.146776653034,0.132668851921,0.112837466969,0.111705549381,0.104782279686
NEW HARTFORD,0.133156826342,0.136426749903,0.13786113464,0.104264235645,0.0806595281329
NEW HAVEN,0.0202246819795,0.00757538684095,-0.0172014777119,4.16360560669e-05,0.00314622268151
NEW LONDON,0.0628485314883,0.0151436189929,0.0174799376878,0.0244534097469,0.0477036338273
NEW MILFORD,0.125303170373,0.121393248045,0.147841713045,0.152351630379,0.167393365638
NEWINGTON,0.12930838498,0.131141427922,0.133134290318,0.134065041368,0.137846360629
NEWTOWN,0.0689627376204,0.0750569897048,0.0827210130961,0.0859250583464,0.0894600028712
NORFOLK,0.199121247452,0.160176365102,0.119874599769,0.129579779581,0.118941060561
NORTH BRANFORD,0.114540062396,0.112840523193,0.108420059871,0.0981455720872,0.114311985976
NORTH CANAAN,0.074675600617,0.0753459431578,0.0591180198219,0.072862589307,0.0792615393973
NORTH HAVEN,0.0977654081472,0.0845380643903,0.0891377019726,0.0860732802645,0.0796149492496
NORTH STONINGTON,0.0704081788852,0.0183748083549,0.0246528281212,0.075473059563,0.0919977745659
NORWALK,0.0969218044309,0.0930082593897,0.0932799486181,0.103053881698,0.120651918026
NORWICH,0.107201820085,0.098213947498,0.0916183682568,0.0908500017333,0.0877002770751
OLD LYME,0.127176093965,0.151908562835,0.159082529577,0.19459592075,0.200860915878
OLD SAYBROOK,0.0694391866737,0.0649811881098,0.0823402435263,0.0666942014298,0.0751035109636
ORANGE,0.106756770949,0.115039386772,0.136908043586,0.126361063019,0.145072325101
OXFORD,0.0849603933448,0.110671053592,0.127351472478,0.120472269837,0.112635728725
PLAINFIELD,0.101666262054,0.125841615223,0.139441567234,0.137928303715,0.115450018358
PLAINVILLE,0.0431199040204,0.0520432757484,0.0995015324995,0.18583568133,0.175283447618
PLYMOUTH,0.0425852533864,0.0458143860722,0.0530166263869,0.0419914852532,
POMFRET,0.0407231910031,0.0474734704283,0.0654401509233,0.0899797037428,0.110024227491
PORTLAND,0.111779574651,0.134140275683,0.155451551765,0.151013221036,0.152708593522
PRESTON,0.0979224401847,0.144720355281,0.138283337692,0.171889836517,0.179108521223
PROSPECT,0.0183028023778,0.0115593040898,0.0267953866471,0.0274771043269,0.0373936333038
PUTNAM,0.0882318104401,0.114978827654,0.140605839442,0.157420846343,0.177270601103
REDDING,0.128527881253,0.132922932686,0.129621850033,0.109851191693,0.128843166061
RIDGEFIELD,0.0702929521544,0.0834025262929,0.0868146998209,0.0915432208298,0.0922421084689
ROCKY HILL,0.0568972637831,0.0635396853591,0.0688127875666,0.0651234736184,0.0722589899684
ROXBURY,0.143915621896,0.144973904319,0.15620897799,0.177007247684,0.181697108736
SALEM,0.0867637887924,0.0898404799141,0.0810915391414,0.126949833206,0.127540991669
SALISBURY,0.0874206602912,0.102187533354,0.0899919501214,0.093436859967,0.0910315259565
SCOTLAND,0.121395015716,0.119657672334,0.140051704428,0.136817574798,0.0915082612354
SEYMOUR,0.0505204699177,0.0733607918486,0.0790942603835,0.0811966564452,0.0801651384244
SHARON,0.128992684588,0.169700461465,0.26194698168,0.298308184974,0.235024074672
SHELTON,0.0529606908863,0.071005691436,0.0996233333915,0.099657139938,0.0968214500229
SHERMAN,0.111332082053,0.0644516438992,0.0851567757645,0.0990906300661,0.127887095399
SIMSBURY,0.103436625696,0.102245601626,0.111600889695,0.116354615439,0.120856313463
SOMERS,0.114270290004,0.118846000334,0.15038219334,0.170734484633,0.185888113999
SOUTH WINDSOR,0.0347867826903,0.0344369026064,0.0482175570151,0.0473533782104,0.0477053608292
SOUTHBURY,0.0216465530557,0.0356985207332,0.0331795872135,0.0120753990742,0.0110839670717
SOUTHINGTON,0.104088358559,0.119362666884,0.133641285883,0.114677925825,0.123532269257
SPRAGUE,0.0564337192415,0.0494862667381,0.0476891385358,0.0701888360675,0.044978431923
STAFFORD,0.0567708573154,0.0682188012787,0.0812155609552,0.104759105648,0.12210364221
STAMFORD,0.0,0.0,0.0,0.00370945840127,0.00261119568193
STERLING,0.200719976699,0.217125995734,0.226830776831,0.235713270401,0.293603829603
STONINGTON,0.20412134741,0.208310319236,0.203624124255,0.205462545194,0.217524757564
STRATFORD,0.0330270560608,0.0444560534025,0.0464027138456,0.0436397903565,0.0374891201018
SUFFIELD,0.126719051619,0.151302505959,0.140951223292,0.169819441473,0.172345118995
THOMASTON,0.0738115317897,0.0888273743856,0.10264009764,0.108093269978,0.112370683955
THOMPSON,0.0738673920373,0.0760701025476,0.0851563375011,0.0949375833494,0.0790869088975
TOLLAND,0.119750420989,0.118027816336,0.118126863212,0.122954109449,0.118835283361
TORRINGTON,0.027393946504,0.0371146285105,0.0442125981306,0.0502616686824,0.0651103034118
TRUMBULL,0.109277261965,0.110500117322,0.10742044553,0.0929344699765,0.0974999763009
UNION,0.100458151183,0.129581821561,0.0946446407031,0.0821645314879,0.0819730876936
VERNON,0.105829102007,0.106220739724,0.115821970148,0.122677217748,0.131030172896
VOLUNTOWN,0.195863255811,0.189905599779,0.174951512087,0.186219500254,0.103890044022
WALLINGFORD,0.10490829298,0.110251046025,0.120440218395,0.120945373295,0.125306767868
WARREN,0.457767283775,0.277878261504,0.290563269353,0.313835072882,0.336518033192
WASHINGTON,0.171202627495,0.173481762339,0.157491593636,0.170816291533,0.162223720211
WATERBURY,0.0474210903965,0.048570913082,0.0481793217387,0.0474495443264,0.0474917763158
WATERFORD,0.00552588194006,0.0112701225549,0.0265028443036,0.0224833956298,0.112040531916
WATERTOWN,0.090575015557,0.0873833801827,0.0816668187559,0.0980821075011,0.101351013156
WEST HARTFORD,0.0773215714255,0.0704963725858,0.0738865883216,0.0744967969372,0.0761161249839
WEST HAVEN,-0.0777736249876,-0.0961726936347,-0.0864377668689,-0.0646269702262,-0.101667441347
WESTBROOK,0.111122621351,0.145808414259,0.135272069603,0.106009362183,0.142771261636
WESTON,0.118407240137,0.125120905423,0.130663485825,0.14918750716,0.157180913554
WESTPORT,0.111694471097,0.104316426103,0.127362112399,0.12308622967,0.115120032564
WETHERSFIELD,0.0816883514489,0.0978703892712,0.0999024640483,0.104763251,0.10820493439
WILLINGTON,0.0914279520703,0.112696762918,0.115825652729,0.113828150761,0.0914534578511
WILTON,0.131447196321,0.136485400843,0.121742951554,0.140369916111,0.120910851012
WINCHESTER,0.00354824483485,-0.0446466770095,-0.0385890499631,0.095774555079,0.150890973261
WINDHAM,0.130677169221,0.120699592617,0.138860749532,0.148744482595,0.157143623875
WINDSOR,0.146069788562,0.146647947408,0.156408870023,0.157392456497,0.165086178069
WINDSOR LOCKS,0.197908320272,0.200094060828,0.212947386274,0.236679914613,0.219768513084
WOLCOTT,0.047044222595,0.0494473551031,0.054818361299,0.063128368767,0.066752629263
WOODBRIDGE,0.10837873832,0.110613232186,0.102612935817,0.0957053367657,0.0963688352151
WOODBURY,0.0882682390279,0.0871931236101,0.0998315886487,0.0994014169104,0.107763570465
WOODSTOCK,0.0875585129348,0.0951743641433,0.118845660198,0.123384297235,0.13022175422
