Municipality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
DARIEN,66910988.0,69933380.0,74780079.0,79593554.0,90251706.0,93516587.0,121408510.0,108105979.0,111849775.0,116552529.0,123251530.0,128079499.0,136227867.0,140842202.0
DEEP RIVER,10651407.0,11572569.0,12346563.0,13181324.0,13701889.0,14264379.0,14801779.0,15024146.0,14298261.0,14552244.0,15754287.0,16031505.0,16370102.0,16123129.0
DERBY,26346579.0,27781026.0,30184252.0,32033007.0,36222773.0,36042200.0,40071458.0,38788369.0,36330768.0,38455683.0,39144181.0,41830842.0,42217547.0,44373819.0
DURHAM,19592401.0,23393078.0,21286246.0,21611661.0,22716799.0,23682700.0,24644737.0,25741964.0,25148721.0,26047849.0,26906651.0,28647477.0,28522849.0,28814958.0
EAST GRANBY,11587724.0,12766725.0,13613879.0,14185618.0,14873059.0,15409229.0,16444319.0,16761772.0,17706634.0,17601413.0,17748836.0,18429255.0,19339421.0,20203806.0
EAST HADDAM,19475659.0,20746610.0,20972963.0,21941822.0,23429804.0,24393212.0,31490544.0,28743249.0,27501491.0,27768468.0,29009622.0,29630539.0,29854398.0,29892651.0
EAST HAMPTON,26730208.0,27701528.0,28040536.0,29690881.0,32324339.0,33362018.0,42760007.0,37454881.0,38114208.0,39364965.0,39279217.0,40296351.0,41825453.0,42235837.0
EAST HARTFORD,123214000.0,128238000.0,134679000.0,142622000.0,150591000.0,155519000.0,185074000.0,167008000.0,158135000.0,163839000.0,176696000.0,184226000.0,191356000.0,194419000.0
EAST HAVEN,63398257.0,66904292.0,68124851.0,75560188.0,77845635.0,75931383.0,88415684.0,83239586.0,78565834.0,82669847.0,89129239.0,89279677.0,90657600.0,91461789.0
EAST LYME,43246820.0,44877706.0,47463387.0,50530574.0,54048574.0,58573457.0,60748487.0,63330214.0,62157649.0,63828394.0,65819678.0,67354822.0,69302917.0,73155424.0
EAST WINDSOR,21689932.0,23505376.0,24058122.0,25859174.0,27323233.0,28697564.0,35701976.0,33646257.0,31904255.0,33202434.0,34054890.0,35466465.0,36132209.0,36244697.0
EASTFORD,3993308.0,4232876.0,3916881.0,4134680.0,4457496.0,4528963.0,4663173.0,4944019.0,4827580.0,4906189.0,4929004.0,5185600.0,5036794.0,5101516.0
EASTON,23302304.0,26303614.0,26966186.0,29583467.0,32425947.0,35272280.0,42012378.0,39675403.0,40074675.0,40806338.0,41656388.0,41619023.0,42503602.0,42821976.0
ELLINGTON,30492889.0,31842970.0,34423122.0,36184847.0,38752992.0,41909665.0,52308852.0,45787297.0,46382613.0,48405040.0,48844182.0,51367487.0,53063124.0,55488141.0
ENFIELD,88397124.0,93770131.0,97333019.0,98609000.0,106786000.0,109212000.0,135155000.0,112676000.0,115746000.0,124177000.0,125862000.0,129562000.0,133799000.0,134323000.0
ESSEX,12590106.0,13605209.0,14759072.0,16925962.0,16993352.0,18288811.0,20610558.0,20174179.0,20544950.0,21114496.0,21983190.0,22626816.0,23383146.0,23508785.0
FAIRFIELD,155345000.0,168177000.0,182204000.0,194835000.0,206807000.0,220202000.0,263366000.0,249409000.0,253636000.0,259867000.0,275517000.0,284550000.0,293325000.0,297097000.0
FARMINGTON,61665091.0,66404401.0,70692094.0,72385073.0,77094182.0,81067666.0,99064635.0,85738464.0,85526004.0,87941436.0,92680715.0,94607047.0,96586390.0,95875482.0
FRANKLIN,4966761.0,5098442.0,5261364.0,5032431.0,5573890.0,5627253.0,6826905.0,6216395.0,5959112.0,5861078.0,6116532.0,6060349.0,6200049.0,6306382.0
GLASTONBURY,86281400.0,92571252.0,96727632.0,103355704.0,113714690.0,121404912.0,153102764.0,135567883.0,138708507.0,141474844.0,147400481.0,148204491.0,153504862.0,154714285.0
GOSHEN,6533756.0,7156861.0,7319958.0,7731656.0,7919320.0,8393706.0,8744034.0,9110539.0,9234981.0,9396418.0,9506014.0,9477274.0,9891901.0,9834203.0
GRANBY,26024254.0,28921838.0,30314912.0,31277755.0,34099735.0,35687937.0,46089174.0,40365278.0,40862233.0,40661659.0,43678546.0,41797578.0,43362672.0,43675820.0
GREENWICH,231977627.0,242124998.0,254294378.0,257564674.0,275793442.0,285545060.0,348428881.0,317582673.0,297273862.0,323723671.0,344600243.0,354556928.0,369009698.0,387494702.0
GRISWOLD,34729341.0,26248638.0,26114245.0,26140708.0,28358648.0,28677666.0,34721710.0,32659327.0,32806750.0,31980597.0,31928739.0,32870946.0,33672866.0,33408239.0
GROTON,93349412.0,97307704.0,96376439.0,100342323.0,106974732.0,110445210.0,136594450.0,120261431.0,123236612.0,122663093.0,123131899.0,124486818.0,126270189.0,127206076.0
GROTON (City of),11445773.0,11348562.0,11701467.0,12346699.0,12914165.0,14008697.0,14053487.0,15099171.0,15359703.0,16225375.0,15302629.0,16118947.0,16239533.0,16487058.0
GUILFORD,55418963.0,57814213.0,59962243.0,61683501.0,65252424.0,69752192.0,87349815.0,78103537.0,78555472.0,80546758.0,85428902.0,87898715.0,91998772.0,94273237.0
HADDAM,19751898.0,19392836.0,18007262.0,20697746.0,21503293.0,22939650.0,24760188.0,27127440.0,25522195.0,25529825.0,26233913.0,26988443.0,27405281.0,28813439.0
HAMDEN,125117141.0,129931653.0,137165920.0,143472236.0,155775358.0,168389550.0,176573319.0,182082330.0,181852150.0,184639339.0,189196483.0,201069301.0,207944664.0,208005986.0
HAMPTON,4831110.0,4860160.0,4840090.0,4779353.0,5547107.0,5186082.0,5311265.0,5406318.0,5417232.0,5473763.0,5527377.0,5618093.0,6236274.0,5576130.0
HARTFORD,423442000.0,410870000.0,414446000.0,434927000.0,451342000.0,475892000.0,577562000.0,512114000.0,506731000.0,523968000.0,532626000.0,521577000.0,554418000.0,571021000.0
HARTLAND,5006466.0,5281859.0,5317115.0,5756593.0,6281214.0,6309864.0,6893995.0,6844653.0,6098910.0,5947116.0,6176394.0,6330475.0,6674691.0,6687675.0
HARWINTON,11645213.0,12303483.0,12856643.0,14163616.0,13398705.0,13992422.0,14789592.0,16585376.0,17571596.0,15837359.0,16326782.0,17194063.0,17099670.0,17870601.0
HEBRON,20451152.0,21891003.0,23429498.0,24947518.0,27225749.0,28441273.0,30424142.0,32299241.0,33187608.0,34628340.0,34800837.0,35823966.0,35791811.0,36793268.0
KENT,6446402.0,7589804.0,7801803.0,8188561.0,8670783.0,9186509.0,10455070.0,9800316.0,9745923.0,9680321.0,10179641.0,10476076.0,10871821.0,11034950.0
KILLINGLY,31855662.0,35416505.0,36374121.0,37819598.0,40400842.0,44505653.0,56995219.0,50128782.0,50481708.0,48523701.0,53660123.0,54632300.0,57530100.0,57315683.0
KILLINGWORTH,14177976.0,15190736.0,15906832.0,17404403.0,21232331.0,21773204.0,19271558.0,19292642.0,19844579.0,19871639.0,20730259.0,20384796.0,19642409.0,20523836.0
LEBANON,16296451.0,16483574.0,16982757.0,17474071.0,18605688.0,19768254.0,25859996.0,21761312.0,22285416.0,22821605.0,22618116.0,22374399.0,23380957.0,23551201.0
LEDYARD,36182790.0,37456147.0,39905806.0,40496596.0,43318138.0,44498427.0,54014970.0,48893105.0,49061088.0,48377905.0,50359063.0,50964858.0,53024775.0,55830635.0
LISBON,13777304.0,13928162.0,14420544.0,10390342.0,11011749.0,11908850.0,11933664.0,12675044.0,12116688.0,12107313.0,13596314.0,13185087.0,14244621.0,14124944.0
LITCHFIELD,18578912.0,19358596.0,20103726.0,20794000.0,23300000.0,24519000.0,30948000.0,26518000.0,26481000.0,27192000.0,27908000.0,28631000.0,29594000.0,29852000.0
LYME,5107882.0,5832999.0,6210725.0,6782972.0,7801698.0,7739746.0,8541047.0,8447528.0,8304933.0,8863808.0,8665051.0,8247393.0,11963446.0,11281175.0
MADISON,44997877.0,45808593.0,49113235.0,53952998.0,55896887.0,58833014.0,75118956.0,67823753.0,69787527.0,71450711.0,73215766.0,75756559.0,77272033.0,78116237.0
MANCHESTER,112573000.0,117505000.0,122478000.0,126142000.0,135979000.0,145401000.0,178611000.0,162038000.0,158275000.0,160915000.0,170786000.0,172113000.0,177343000.0,183419000.0
MANSFIELD,30230273.0,30905145.0,32493754.0,34473323.0,38006912.0,38893733.0,45163427.0,43573818.0,41586927.0,42349335.0,44580373.0,44740096.0,46235278.0,46403838.0
MARLBOROUGH,13207945.0,14060133.0,15043211.0,15990350.0,18008023.0,19197623.0,22433047.0,20870606.0,20701320.0,21266675.0,21707628.0,21755631.0,22665709.0,22830803.0
