Municipality,2011,2012,2013,2014,2015
MONTVILLE,3072260.0,2511215.0,7382987.0,8537150.0,8756538.0
MORRIS,1258929.0,1351964.0,1500719.0,1579622.0,1528789.0
NAUGATUCK,10229826.0,11544524.0,12675673.0,13628371.0,13729445.0
NEW BRITAIN,11663000.0,12159000.0,12595000.0,4965000.0,11277000.0
NEW CANAAN,14639863.0,16437613.0,18728822.0,21328599.0,24349923.0
NEW FAIRFIELD,7308604.0,6898747.0,6084821.0,6261088.0,5891290.0
NEW HARTFORD,3082427.0,3083829.0,3194256.0,2442778.0,1919270.0
NEW HAVEN,9827620.0,3791796.0,-8721555.0,22047.0,1726001.0
NEW LONDON,4979248.0,1262989.0,1471158.0,2119321.0,4244989.0
NEW MILFORD,11861567.0,11898850.0,14817161.0,15766768.0,17761259.0
NEWINGTON,13082000.0,14419000.0,14626000.0,15183000.0,15999000.0
NEWTOWN,7408816.0,8379750.0,9390049.0,10242495.0,10608535.0
NORFOLK,1468066.0,1187792.0,896668.0,966781.0,953717.0
NORTH BRANFORD,5372644.0,5626204.0,5355806.0,4985195.0,5971887.0
NORTH CANAAN,781989.0,799909.0,640347.0,820721.0,969569.0
NORTH HAVEN,8619912.0,7478295.0,8018349.0,8062822.0,7519929.0
NORTH STONINGTON,1329281.0,357606.0,495644.0,1536513.0,1805037.0
NORWALK,28628331.0,28531930.0,29750868.0,34613222.0,42287811.0
NORWICH,10649000.0,10371000.0,10275000.0,10483000.0,10192000.0
OLD LYME,4036527.0,4916275.0,5279040.0,6544463.0,6827652.0
OLD SAYBROOK,2660286.0,2567898.0,3376384.0,2865764.0,3513946.0
ORANGE,5997368.0,6731743.0,8607747.0,8155029.0,9415266.0
OXFORD,3467700.0,4727663.0,5627712.0,5543864.0,5233092.0
PLAINFIELD,4533712.0,6022394.0,6580247.0,6743820.0,5915560.0
PLAINVILLE,2397761.0,2970390.0,5863288.0,11165655.0,10443073.0
PLYMOUTH,1655273.0,1853353.0,2163609.0,1787337.0,
POMFRET,491367.0,599785.0,852004.0,1216812.0,1520517.0
PORTLAND,3451263.0,4309585.0,5048238.0,4939790.0,5108122.0
PRESTON,1479602.0,2264131.0,2193494.0,2801541.0,2879784.0
PROSPECT,502514.0,317987.0,757332.0,801598.0,1124085.0
PUTNAM,1992655.0,2680225.0,3394535.0,3868804.0,4389723.0
REDDING,6132572.0,6439022.0,6549618.0,5587046.0,6594466.0
RIDGEFIELD,9048490.0,11507184.0,11709896.0,12897561.0,13270579.0
ROCKY HILL,3493789.0,4055498.0,4671860.0,4586516.0,5204034.0
ROXBURY,1290187.0,1372119.0,1542688.0,1759477.0,1808780.0
SALEM,1260787.0,1342442.0,1254677.0,2007216.0,2064266.0
SALISBURY,1142566.0,1407387.0,1214183.0,1297647.0,1313104.0
SCOTLAND,715274.0,701893.0,833304.0,824935.0,557696.0
SEYMOUR,2528999.0,3977834.0,4391954.0,4611302.0,4674011.0
SHARON,1291212.0,1784362.0,2757398.0,3326976.0,2523163.0
SHELTON,6010150.0,8262553.0,11868923.0,12274545.0,11722531.0
SHERMAN,1457640.0,857232.0,1182363.0,1454427.0,1915469.0
SIMSBURY,9577204.0,9696310.0,10840687.0,11611521.0,11870091.0
SOMERS,3314760.0,3806587.0,4878614.0,5624179.0,6182226.0
SOUTH WINDSOR,3431794.0,3504042.0,5042748.0,5238041.0,5329639.0
SOUTHBURY,1295039.0,2170122.0,1998314.0,727586.0,697402.0
SOUTHINGTON,13486000.0,16084000.0,18487000.0,16215000.0,17801000.0
SPRAGUE,472796.0,439934.0,423170.0,650918.0,405697.0
STAFFORD,2058991.0,2576311.0,3281949.0,4363493.0,5082537.0
STAMFORD,0.0,0.0,0.0,1991813.0,1421627.0
STERLING,2197007.0,2389842.0,2538228.0,2741124.0,3460499.0
STONINGTON,11559991.0,12141729.0,12144077.0,12637386.0,13540162.0
STRATFORD,6261135.0,8790145.0,9497442.0,9005834.0,7984818.0
SUFFIELD,6368510.0,8355345.0,7753141.0,9546863.0,9701021.0
THOMASTON,1766537.0,2240778.0,2701438.0,2890109.0,3007183.0
THOMPSON,1701524.0,1790037.0,2084784.0,2352668.0,1953496.0
TOLLAND,6209332.0,6588695.0,6649387.0,7053690.0,6853234.0
TORRINGTON,3183133.0,4360704.0,5334739.0,6302054.0,8337813.0
TRUMBULL,15815540.0,16861999.0,17173299.0,15234809.0,16620913.0
UNION,277594.0,367468.0,272811.0,250847.0,270156.0
VERNON,8955095.0,9294386.0,10015648.0,11142709.0,12151945.0
VOLUNTOWN,1477744.0,1577279.0,1493412.0,1584184.0,899277.0
WALLINGFORD,14797000.0,16337000.0,18265000.0,18837000.0,19811000.0
WARREN,2122346.0,1279461.0,1437327.0,1604071.0,1770699.0
WASHINGTON,2555449.0,2593552.0,2464751.0,2752209.0,2636365.0
WATERBURY,18571000.0,19383000.0,19422000.0,19462000.0,19635000.0
WATERFORD,419968.0,891449.0,2236209.0,1983783.0,10138379.0
WATERTOWN,5574702.0,5772945.0,5574608.0,6953281.0,7370555.0
