Municipality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ANDOVER,0.761493086663,0.75230635053,0.754738013832,0.765345048912,0.755578682324,0.808011361288,0.821967669265,0.812129359188,0.809428483045,0.810226842249,0.826114858502,0.813028481407,0.799323588272,0.804985804735
ANSONIA,0.493675940701,0.523953751459,0.526585446872,0.543848870126,0.548373476575,0.56158592497,0.60924889311,0.551030890935,0.566261171283,0.530788539165,0.559252112551,0.520637147464,0.56030723864,0.582133978162
ASHFORD,0.776193808589,0.766322295154,0.778602386499,0.761875959202,0.768772539359,0.773662561339,0.770519150844,0.796535448077,0.798758256217,0.791132862551,0.795574564241,0.768691501621,0.813315369035,0.800555615778
AVON,0.626242608414,0.616697704665,0.620229654072,0.628652128987,0.650119411662,0.648369798232,0.710628431049,0.660708163019,0.666227853251,0.672892517649,0.661115448033,0.687592144863,0.699046998321,0.698543475672
BARKHAMSTED,0.799551608646,0.802951623572,0.792816629883,0.789850282258,0.788558222842,0.802238070647,0.814744699294,0.799757914819,0.821254005454,0.818831057714,0.816958729322,0.813995533194,0.819231383046,0.813770411017
BEACON FALLS,0.693825817384,0.716897280059,0.729949070129,0.704841519972,0.700803158753,0.686310417515,0.700810286923,0.708366806361,0.699258686992,0.701380646775,0.705075399174,0.70237595003,0.713270426449,0.701352488476
BERLIN,0.588622390768,0.591559569933,0.589162236867,0.592812182294,0.596597334681,0.596351310418,0.667740343836,0.618667424118,0.630308766652,0.620056222807,0.611471523627,0.615087579354,0.609850602405,0.594220204049
BETHANY,0.747531884401,0.733859676929,0.7367732765,0.737288303099,0.74290640626,0.751241470603,0.756911360018,0.750080488565,0.760906699985,0.748056857469,0.734668872745,0.738538857621,0.72729450608,0.725395411055
BETHEL,0.658303351419,0.655318070001,0.639905763911,0.648547500985,0.639083366283,0.641903820818,0.675264908912,0.645694138855,0.635502330857,0.630131791837,0.643187428826,0.646878942653,0.651973608004,0.650391522505
BETHLEHEM,0.76128607655,0.757960116673,0.762814631607,0.764109507612,0.754890812958,0.75584409931,0.748424534898,0.74422570927,0.735164326989,0.741401440477,0.744348393449,0.738522877832,0.747136674563,0.73581031587
BLOOMFIELD,0.580561866268,0.570128876193,0.563594968222,0.573267593588,0.579031198565,0.561391125418,0.605839957645,0.564915863485,0.553201972202,0.548360882845,0.518206770332,0.520741706751,0.521877477455,0.509545577422
BOLTON,0.712227691134,0.709020532804,0.712125844963,0.716627084569,0.710089044023,0.715804387636,0.760432372277,0.70580810183,0.715219734335,0.717792051692,0.728481175111,0.728648068603,0.733522285729,0.724182423679
BOZRAH,0.642800573065,0.647745485826,0.707704839736,0.671028129245,0.655819281383,0.631034932662,0.711566727506,0.701165013002,0.731032959057,0.738519288246,0.741973450918,0.714281305915,0.719809035274,0.705980163754
BRANFORD,0.536607389654,0.538929914853,0.53265284161,0.533263876607,0.548596506471,0.555327597266,0.619412739502,0.584182337858,0.572166837277,0.573432383118,0.573631756376,0.567943011205,0.575028054909,0.57003149301
BRIDGEPORT,0.395039815845,0.406997971154,0.39046319687,0.385371563006,0.379889211819,0.458875718566,0.450908777549,0.45839240961,0.438404859436,0.459100079054,0.489812556971,0.484413883763,0.487632364873,0.478259209466
BRIDGEWATER,0.742122160658,0.715592472949,0.731965005378,0.717274707291,0.718866617575,0.723450756615,0.720186975028,0.701026320261,0.709175114031,0.70855782775,0.700605943083,0.684744938448,0.689208804568,0.658798977958
BRISTOL,0.621314948472,0.615426513221,0.634611329772,0.63347585009,0.642962767975,0.634899006092,0.69824364295,0.637749834547,0.651910083249,0.64852350927,0.642431374556,0.645048197587,0.649795918367,0.545432421832
BROOKFIELD,0.69489938694,0.705787476915,0.699517538265,0.698754523713,0.693292453657,0.693583861284,0.725186444948,0.690003512144,0.687929712599,0.68165573108,0.673900297709,0.674772337815,0.677555600756,0.6698460938
BROOKLYN,0.749559335306,0.75233259176,0.74116658417,0.74732658094,0.753373166744,0.740805805386,0.760468376465,0.77174417524,0.770453592919,0.782128821082,0.794265706144,0.789385248887,0.799305181167,0.801226787112
BURLINGTON,0.753362347898,0.754352574705,0.750211883535,0.75573714127,0.730484042674,0.74501821421,0.74858955668,0.721241257948,0.741730406455,0.731082636687,0.733776475839,0.758125638189,0.738481035747,0.708791518106
CANAAN,0.671468800445,0.665862208735,0.641962342987,0.681302015155,0.698372371882,0.686791199383,0.715959586657,0.659396108663,0.675427103709,0.675977380966,0.697253158604,0.703871587447,0.674583572105,0.669643667527
CANTERBURY,0.785154556978,0.781417366412,0.790300423108,0.795131150266,0.794095184227,0.797937627511,0.82545359633,0.800797988969,0.823571018106,0.816313575908,0.818153221537,0.824728736122,0.808537323827,0.807405752675
CANTON,0.66536221738,0.663661051712,0.644474779592,0.656830877652,0.666457304899,0.672935507611,0.71026501119,0.689225984323,0.688391492797,0.69306635343,0.707563180124,0.719150474782,0.730633743234,0.731666975949
CHAPLIN,0.716627133931,0.732086669601,0.732826765822,0.727986097491,0.744646231676,0.771200684011,0.772071215937,0.775668909626,0.774147302422,0.76660088126,0.786545813385,0.785073991205,0.760859744108,0.784045736171
CHESHIRE,0.635700722138,0.635172574842,0.637068702606,0.634725289204,0.642663367211,0.642337841118,0.642312090185,0.651263065595,0.654904251861,0.646695237982,0.648275334653,0.658863879286,0.66453938131,0.674562887567
CHESTER,0.685846075101,0.68757445205,0.666046279388,0.669022286769,0.671722556532,0.667742501623,0.680004248375,0.720711264173,0.724467553502,0.732138325833,0.74261469347,0.737405086666,0.714741830339,0.706731842024
CLINTON,0.688116427418,0.684750670637,0.692012448391,0.68493139932,0.685387219805,0.687383142032,0.739242747226,0.692628236613,0.694095837839,0.698342021964,0.670306369863,0.680699297636,0.688935226993,0.681299176634
COLCHESTER,0.690371934445,0.69191922573,0.695713118011,0.694014996481,0.708759937743,0.716200973061,0.732468484285,0.738007151202,0.736251328808,0.737773541795,0.759363054637,0.782398207423,0.772177022414,0.776406140617
COLEBROOK,0.680664649124,0.680849966614,0.665303558325,0.675389753648,0.692427536668,0.693044249916,0.712709395542,0.697949582992,0.701914125504,0.679104108346,0.708411568377,0.67588144171,0.683031385097,0.677771778649
COLUMBIA,0.712259986346,0.707984122979,0.72654023921,0.721336401926,0.738272213649,0.743702479176,0.762651867216,0.729013709704,0.745116554518,0.740969331668,0.757684428409,0.768944461743,0.775849888755,0.77222412194
CORNWALL,0.688545022064,0.692652799731,0.682267142876,0.663410685525,0.670862570364,0.67591490149,0.695149273074,0.678061226471,0.682535171048,0.700048595628,0.693061689193,0.705945384906,0.695731491936,0.688540969104
COVENTRY,0.674483953384,0.66975256672,0.671628404578,0.683130132513,0.687041598585,0.686941762136,0.739121117977,0.685621084854,0.687257360776,0.689563069892,0.7125696665,0.701403867078,0.71281174997,0.706076749384
