Municipality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CORNWALL,0.108713043263,0.0866788070858,0.0616209875013,0.0915989566712,0.0862780681475,0.08769358817,0.179913819385,0.0991181480964,0.107105170849,0.0844561173012,0.151278816907,0.144290565479,0.109521300368,0.0925138373248
COVENTRY,0.359362600778,0.344803472183,0.317562719512,0.310329368104,0.315828365782,0.297505046128,0.427020758674,0.33404080852,0.301371230748,0.292127759351,0.319270904935,0.314859887594,0.314284132422,0.298702901134
CROMWELL,0.1691757988,0.154722190233,0.136886570257,0.128920402632,0.144261923866,0.135633816234,0.277291905247,0.156430187141,0.141711668165,0.13763778683,0.160208512815,0.158995330597,0.164854169832,0.167453012949
DANBURY,0.198841547396,0.189624456738,0.189430112386,0.180266349289,0.198365363524,0.195703633083,0.216444164007,0.211155429222,0.198865021096,0.192309302434,0.209355271874,0.196445007137,0.191594034469,0.196012672912
DARIEN,0.0610892894128,0.0597220606136,0.0542026417845,0.053381703369,0.0735915433483,0.0800669630463,0.23383094842,0.0982998830751,0.0900373096062,0.0975104585928,0.105805479557,0.101792875578,0.107381477673,0.0929629915223
DEEP RIVER,0.194375169448,0.161389485939,0.150998013505,0.146842967464,0.151569344789,0.146643896469,0.190990990267,0.171796850779,0.152512370022,0.173984596607,0.188695936624,0.208921804562,0.174435864611,0.170487012119
DERBY,0.358578178348,0.340231309381,0.327047812783,0.340392324661,0.357294293558,0.32978305961,0.415283433124,0.330283364129,0.329071721534,0.312571701347,0.299311249411,0.320292792502,0.311817005168,0.319696137568
DURHAM,0.271454885556,0.230055723088,0.199555272325,0.220740025621,0.169984817991,0.162495388391,0.173456107214,0.178607592996,0.157648825073,0.153286591609,0.171382687971,0.160199474779,0.158319106953,0.15327990861
EAST GRANBY,0.212484924683,0.178865767358,0.161170726204,0.152868782768,0.147214269758,0.143988633913,0.160190429493,0.155729207496,0.138319997868,0.14468626376,0.153997419306,0.151593875695,0.142240030262,0.144922866523
EAST HADDAM,0.241968981014,0.232130460792,0.207579689251,0.216109205416,0.228357154004,0.220590785561,0.357333713442,0.241482101016,0.224781674903,0.222047603332,0.245034258453,0.242482297009,0.236622882223,0.213751157672
EAST HAMPTON,0.342698405158,0.316639154953,0.297903308737,0.279321616093,0.290991819864,0.282269821429,0.403650575458,0.294272064668,0.288095710261,0.278697876437,0.281490472051,0.282390583065,0.288798110495,0.268201808665
EAST HARTFORD,0.299207850458,0.301150830812,0.29409566791,0.288230756937,0.319389695311,0.30642601271,0.428494655438,0.348596258707,0.328715533776,0.314146811012,0.339501058124,0.32430780217,0.332916106017,0.326910878931
EAST HAVEN,0.337874236835,0.35724820939,0.350899948399,0.358846432833,0.351323581561,0.31525693974,0.384692962951,0.331063123491,0.297425535709,0.260276959658,0.295628859335,0.291479502514,0.289605657808,0.277845410391
EAST LYME,0.253817520752,0.231835384961,0.201095906608,0.188721003077,0.19527142506,0.184035430361,0.198011676273,0.20716017716,0.187402443118,0.176936642545,0.203091417218,0.19874634601,0.208583311872,0.200154611916
EAST WINDSOR,0.263759100182,0.260265264637,0.247313442391,0.236063423097,0.24819596429,0.232762759334,0.348233522908,0.275152416877,0.232039900991,0.211907319569,0.233142229575,0.240059819927,0.235766472212,0.233931036171
EASTFORD,0.389304099541,0.331496372273,0.305452448674,0.315484916937,0.304902720886,0.298200538692,0.306613506938,0.320809340175,0.330182607141,0.309314192499,0.316032654956,0.310910272967,0.317405129449,0.32355849948
EASTON,0.0751004475151,0.0452944722505,0.0344560158116,0.0341858343849,0.0426151586163,0.0497093148021,0.146259953658,0.0543705513011,0.0515351133996,0.0552830729645,0.0563946714589,0.0620611525973,0.0692628851259,0.0656573935107
ELLINGTON,0.313032493011,0.305080547892,0.293892117581,0.281309184793,0.286749842303,0.273524884566,0.410639806678,0.300075890227,0.289513330069,0.289515897219,0.290523762787,0.28513276679,0.291397758994,0.2840282686
ENFIELD,0.34536217012,0.313674951757,0.296677524449,0.298741448241,0.31510395815,0.312318914681,0.435548254046,0.318479851775,0.317103835489,0.324959455592,0.339315607116,0.332335397076,0.330820931008,0.3256679264
ESSEX,0.0799783864277,0.0670535482122,0.0580837518978,0.0865253167033,0.065449089144,0.0872112711135,0.126634215705,0.0767919311939,0.0635790115424,0.0562563093671,0.0573016061062,0.0627700924086,0.0667360668792,0.0650206054092
FAIRFIELD,0.0818330501813,0.0691036849032,0.0690147575232,0.0607786254074,0.0662798874824,0.0617059078887,0.174869999098,0.0811083382441,0.0788315465417,0.0790983824322,0.0880481057294,0.0904613601796,0.0979723560446,0.0839991291325
FARMINGTON,0.139272069488,0.131077583209,0.113465759486,0.0975679505581,0.113178844601,0.114191560943,0.252854613997,0.127447353782,0.121987727024,0.119161824202,0.127936044392,0.124989467716,0.135170216427,0.124310741862
FRANKLIN,0.259479051782,0.22018502706,0.266904758819,0.250869773673,0.25347944506,0.257115869537,0.371151947617,0.282727021406,0.265745539595,0.268514208141,0.259225202396,0.260682124971,0.265746078184,0.265737962292
GLASTONBURY,0.0965413185889,0.0961342365717,0.0883799696673,0.0848941452964,0.0639800742638,0.0599151706,0.245249603292,0.0699282305087,0.113157011194,0.11247251688,0.122380736665,0.137110454169,0.130923310069,0.114960934848
GOSHEN,0.0519648034217,0.0472060715535,0.0382887626017,0.0374452159692,0.0355230343002,0.0360654406717,0.0463827830151,0.0381455188061,0.0373506694799,0.03792543549,0.0392213924435,0.0419809123714,0.0321186359842,0.0312597323538
GRANBY,0.206132270909,0.199581059248,0.195981916044,0.188380239719,0.20299743141,0.208994407833,0.339329859428,0.2328455831,0.225029244726,0.22080931188,0.257193475119,0.228459923727,0.241626208676,0.215276548948
GREENWICH,0.0940338227174,0.0867788305408,0.0851048080566,0.0767899255252,0.0958074182275,0.0977749938239,0.210023473179,0.107994608215,0.0616227442497,0.0649594000293,0.0759920493216,0.0711708866982,0.082758213679,0.0811959284587
GRISWOLD,0.511798596369,0.493230416306,0.461007355044,0.446637224927,0.439077157621,0.416664276595,0.524912932984,0.470453543828,0.46753245247,0.426869007898,0.442251529545,0.418572799338,0.409573420235,0.401388157492
GROTON,0.49030227289,0.434992407282,0.422493527965,0.412842574548,0.402377352007,0.381501917066,0.474689442944,0.38670704678,0.35788996548,0.345136566023,0.355289591569,0.348465500334,0.353559161009,0.34749209245
GROTON (City of),0.13904896258,0.0977099016406,0.105963456775,0.104458736997,0.0981075644612,0.0582116235626,0.0544132786775,0.0482221596478,0.0412668696009,0.0132920969757,0.0264556832697,0.0215820376636,0.0528825326517,0.0323862217368
GUILFORD,0.124346176098,0.110219721915,0.102914517755,0.103267185008,0.117343418885,0.114054486913,0.249193935382,0.118037640236,0.107448756635,0.102090360249,0.121604218066,0.113893764268,0.123932984194,0.109293454831
HADDAM,0.0554689885103,0.0468054324234,0.0682299723165,0.0709715357974,0.0669284507803,0.0625678208481,0.0911872933652,0.0760013701206,0.0677150003298,0.073253120041,0.0786766218983,0.0715380366224,0.0708543351214,0.0681013364145
HAMDEN,0.230760183455,0.229351781253,0.221890352804,0.21706236811,0.207486781256,0.213933412468,0.224706300996,0.262605498853,0.23470172037,0.243661854632,0.225817767658,0.225727580038,0.207576927348,0.179591654826
HAMPTON,0.382486580785,0.332582921096,0.324065916805,0.315147252595,0.315775535985,0.318762652733,0.323082913135,0.341764706904,0.309185691462,0.296887049022,0.318864926948,0.318088200635,0.317820850952,0.335505868038
HARTFORD,0.558073255935,0.539258781304,0.521412510702,0.50486792495,0.50857348113,0.495333988212,0.569384572747,0.499153353865,0.486066246125,0.485021841667,0.489045446148,0.510686027112,0.51355768903,0.51064055093
HARTLAND,0.359680299778,0.331951043113,0.307444422065,0.311521843479,0.307568101906,0.307567710983,0.371345141384,0.301201251503,0.277392754557,0.264083195211,0.297485681956,0.287806006627,0.303060218586,0.298664879681
HARWINTON,0.21386321487,0.194885693018,0.177757688723,0.181710397817,0.18610412984,0.177308467159,0.196942719102,0.260269928166,0.221222437614,0.183567551407,0.176477557781,0.20137238265,0.180114818046,0.17930243206
HEBRON,0.286137749844,0.265889344714,0.246843483364,0.241814911036,0.239494939969,0.231826823094,0.25362159259,0.25354678201,0.244716659557,0.240653966174,0.238768822488,0.245845517839,0.243906592952,0.236670319887
KENT,0.101820410158,0.238728963629,0.064198318566,0.0495375684521,0.0581139107988,0.0737838219746,0.153226997194,0.0711524466657,0.068933655654,0.0832926087815,0.0744450792438,0.0924957932374,0.105792473232,0.0960068601074
KILLINGLY,0.530724925646,0.497754201654,0.461276363015,0.42952221298,0.422400846202,0.433128196274,0.517553205072,0.43808892986,0.426998922751,0.374578064256,0.413981091595,0.405984438397,0.389508578398,0.386916595762
KILLINGWORTH,0.180893357035,0.16288601436,0.137506796469,0.136726371742,0.131846641082,0.13003371979,0.13639312547,0.126494210308,0.115421915705,0.118532027624,0.1248733859,0.136381030895,0.132039720426,0.131992246444
LEBANON,0.378990238779,0.35302651935,0.334989884735,0.31540607918,0.322548200858,0.313621125353,0.442944927068,0.326716456369,0.327227265886,0.322398917147,0.32564120039,0.316516422186,0.325404941037,0.311198385114
LEDYARD,0.381263688988,0.364062066111,0.336999658453,0.329440093494,0.319666609377,0.317964646989,0.424973038856,0.353157859956,0.342740782789,0.350618285397,0.362918865841,0.35855813662,0.359152816519,0.353514910479
LISBON,0.459560090932,0.434180217477,0.40114311352,0.371852374371,0.373340224666,0.377070571932,0.376518070278,0.376633515954,0.332341729421,0.335397591104,0.376231124561,0.362534877254,0.369486583617,0.364833578042
LITCHFIELD,0.116456761914,0.119135207587,0.0919194396428,0.0894919442992,0.101784061264,0.0970658207772,0.238429353074,0.111624239694,0.10175042349,0.10340442539,0.117482125333,0.121272985421,0.125928677563,0.113790354723
LYME,0.0539215714122,0.0372215747386,0.0446695180594,0.048401573561,0.0490739980177,0.0378773208764,0.0733502982008,0.0514698734246,0.0399885590554,0.0410069055452,0.0412955417143,0.0434031734403,0.0970720954067,0.0456982023016
MADISON,0.0932745014029,0.0818863996029,0.0812391655002,0.0631184066738,0.0801894642137,0.0776899448628,0.229987047151,0.104059114944,0.0957390523981,0.0921548991531,0.108205968294,0.109396003508,0.117714482578,0.104802403182
MANCHESTER,0.304252952251,0.289374344043,0.270126679218,0.264878253248,0.263834453484,0.253821466936,0.369537464401,0.273371446976,0.253242924528,0.2431330776,0.274397324539,0.270094603659,0.265962438753,0.258139870532
MANSFIELD,0.482905970537,0.457541163358,0.432283883205,0.440487030484,0.460719260942,0.443100945905,0.50023070223,0.456234559902,0.427384107619,0.405384577949,0.423973320952,0.419704101477,0.416144488516,0.408524754676
MARLBOROUGH,0.232848661156,0.208323284224,0.195974313615,0.193928864249,0.191523043786,0.1770234636,0.270599664251,0.194759117958,0.188116072834,0.189927066191,0.194751696456,0.19030173017,0.191870172964,0.179683438484
MERIDEN,0.409386025137,0.377675717198,0.373023902818,0.364645584197,0.359711655991,0.352050158219,0.461682956744,0.369953246086,0.349934801301,0.342573529168,0.390574469037,0.374412634643,0.384308280277,0.373883917599
MIDDLEBURY,0.0232661680108,0.0261507793062,0.0243620805748,0.023482550205,0.0230568021723,0.0266766355517,0.0362427383729,0.0333555274357,0.0335688326655,0.034896292857,0.0551089641783,0.0481876049404,0.048844186376,0.0407637860773
MIDDLEFIELD,0.181004090953,0.190013293494,0.170568401509,0.170024422348,0.167679976201,0.171756234792,0.172727731204,0.17169013023,0.154532730409,0.143715277837,0.15475417948,0.157822056934,0.152782531128,0.151335462412
