Municipality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
DARIEN,67484563.0,70953312.0,76793471.0,84192068.0,95791482.0,101017507.0,126548548.0,110720620.0,114202224.0,118513554.0,124826191.0,131359478.0,137248698.0,144364868.0
DEEP RIVER,11253459.0,12496161.0,12578437.0,13312929.0,13762750.0,13610188.0,14939511.0,14695444.0,14366992.0,14326843.0,15520419.0,15833187.0,15709837.0,16539342.0
DERBY,27656577.0,29289171.0,29329207.0,31770167.0,36180673.0,34699578.0,41232372.0,37271196.0,37130787.0,38258521.0,39565556.0,42672131.0,43430691.0,44200265.0
DURHAM,18831818.0,19744060.0,20357177.0,22636973.0,23378329.0,24275692.0,24859142.0,25180626.0,24693067.0,25344950.0,27263483.0,28562809.0,29334002.0,29864201.0
EAST GRANBY,13076010.0,13745822.0,14430257.0,14760790.0,15072547.0,15844327.0,17258041.0,17846299.0,17372347.0,18104794.0,18347775.0,19098133.0,20138719.0,20542507.0
EAST HADDAM,19826438.0,20419315.0,21435074.0,23233573.0,24947031.0,26087232.0,32601192.0,28044944.0,27147818.0,27415896.0,28573678.0,29415368.0,30189033.0,31489916.0
EAST HAMPTON,26774808.0,27726372.0,29208306.0,31358350.0,34096010.0,35402644.0,44900647.0,39089949.0,39408105.0,40796712.0,41214379.0,41599776.0,43302766.0,43379961.0
EAST HARTFORD,121063000.0,129211000.0,136493000.0,143909000.0,150941000.0,159399000.0,186077000.0,165237000.0,156929000.0,164143000.0,178618000.0,184846000.0,191742000.0,197069000.0
EAST HAVEN,65958900.0,68212661.0,67430255.0,70237644.0,78564860.0,74708062.0,85892338.0,80248382.0,76940939.0,86395615.0,89353313.0,90443557.0,91610030.0,92699361.0
EAST LYME,41985037.0,43553882.0,46582619.0,49380455.0,53495779.0,56726941.0,59274050.0,61540684.0,59648534.0,62242178.0,64412658.0,66155415.0,68698564.0,71100600.0
EAST WINDSOR,22856273.0,23489750.0,23790761.0,25930112.0,27975056.0,30007326.0,35574223.0,31282789.0,31483930.0,34321679.0,36119471.0,36833211.0,37367493.0,38402305.0
EASTFORD,4201348.0,3961434.0,3997470.0,4278176.0,4643340.0,4816108.0,4894181.0,4857982.0,4939073.0,5034124.0,5239756.0,5192794.0,5328682.0,5400501.0
EASTON,24642969.0,25979307.0,28023002.0,30904087.0,33486183.0,36370789.0,42357042.0,39108064.0,39495421.0,40406455.0,41954673.0,41833448.0,43844333.0,44358325.0
ELLINGTON,31670134.0,31929017.0,33952520.0,35654218.0,39446006.0,41433232.0,53258994.0,45264063.0,46701632.0,46951104.0,50471837.0,51577243.0,53793866.0,54794648.0
ENFIELD,96979646.0,98086474.0,101656730.0,104803000.0,112401000.0,117348000.0,143045000.0,118199000.0,116126000.0,125788000.0,128435000.0,132607000.0,140901000.0,137066000.0
ESSEX,12608744.0,13833347.0,15037510.0,17127230.0,17511000.0,19112220.0,21201837.0,20368416.0,20772484.0,21391805.0,21988895.0,23027304.0,23716546.0,23979383.0
FAIRFIELD,157748000.0,170208000.0,179976000.0,195447000.0,210456000.0,223447000.0,266152000.0,252847000.0,258564000.0,263482000.0,279052000.0,289947000.0,301187000.0,303146000.0
FARMINGTON,63909232.0,67978008.0,69864548.0,74066463.0,79987581.0,83410437.0,102187196.0,86393006.0,85685005.0,88739427.0,93721633.0,97224880.0,99968583.0,100764679.0
FRANKLIN,4979612.0,5662415.0,4860303.0,5091267.0,5827869.0,5937117.0,6732919.0,6051643.0,5888366.0,5840771.0,6172683.0,6309489.0,6520322.0,6628733.0
GLASTONBURY,87750262.0,93036345.0,97549513.0,105574430.0,117694221.0,124663619.0,158361353.0,136516782.0,139340301.0,144856641.0,150378446.0,156351083.0,159763437.0,160239746.0
GOSHEN,6433239.0,6456733.0,7635504.0,8442013.0,8728787.0,9139026.0,9551777.0,9261717.0,9195123.0,9678465.0,9758960.0,9839567.0,10577971.0,10628210.0
GRANBY,26956963.0,28611683.0,30411709.0,32382940.0,35340792.0,38167849.0,47452641.0,41724429.0,40700501.0,41021318.0,43587000.0,43296005.0,44755683.0,44379395.0
GREENWICH,251212163.0,260275425.0,269300719.0,282597917.0,303488535.0,319341181.0,379263069.0,337619559.0,329454737.0,345323525.0,360897505.0,372957683.0,391212359.0,401451706.0
GRISWOLD,25976056.0,25832460.0,26887263.0,28052917.0,30815880.0,31135753.0,35848248.0,31830044.0,31038932.0,31509083.0,31985332.0,33641240.0,35285007.0,34504010.0
GROTON,93562542.0,94506999.0,105432834.0,103071872.0,107274564.0,114233924.0,139332690.0,121351153.0,120062813.0,123214945.0,123676477.0,128803319.0,130721622.0,124886980.0
GROTON (City of),10416036.0,10952892.0,10861603.0,10926592.0,11645575.0,11704415.0,12332192.0,12756376.0,12736149.0,12386157.0,12381385.0,13444977.0,13086079.0,12685024.0
GUILFORD,56461495.0,57603221.0,59532456.0,61385076.0,66183652.0,69181750.0,87260374.0,77344574.0,78413127.0,81671090.0,86138813.0,89452878.0,93395758.0,95092236.0
HADDAM,18650926.0,19421314.0,17981086.0,19918422.0,21527153.0,23858814.0,25348773.0,26858950.0,26029181.0,27333375.0,27932516.0,28557675.0,29150891.0,30279303.0
HAMDEN,126548387.0,126385345.0,134297132.0,146048789.0,156056997.0,162935577.0,176359723.0,181482068.0,173070065.0,183436468.0,188285326.0,200852851.0,208952934.0,206809203.0
HAMPTON,4718793.0,4905748.0,4978518.0,5314779.0,5509480.0,5695410.0,5722302.0,5758690.0,5621874.0,5932795.0,5742996.0,5783201.0,6069929.0,5741527.0
HARTFORD,433685000.0,421549000.0,425172000.0,446905000.0,476061000.0,504928000.0,598966000.0,540958000.0,551036000.0,562686000.0,573734000.0,549643000.0,557359000.0,566606000.0
HARTLAND,5242286.0,5198860.0,5352034.0,5887478.0,5993775.0,6139809.0,7118025.0,6686360.0,6413466.0,6350654.0,6737652.0,6876771.0,7003552.0,7052473.0
HARWINTON,12577025.0,12841779.0,13412500.0,13648509.0,14211834.0,14846031.0,15880582.0,17568526.0,16896306.0,16068074.0,17057404.0,17631380.0,17440464.0,17929121.0
HEBRON,21326819.0,22662939.0,24173245.0,25182744.0,27950816.0,29229163.0,31413666.0,32473380.0,33093599.0,34007447.0,35729535.0,35956527.0,36861972.0,38163594.0
KENT,7695903.0,9913485.0,7899210.0,8239706.0,9201463.0,9511272.0,11235879.0,10128703.0,10238250.0,10427780.0,10682291.0,10946660.0,11395754.0,11661625.0
KILLINGLY,35634358.0,35331979.0,37409890.0,38966923.0,42624363.0,45975603.0,59172413.0,50016249.0,50359750.0,49426661.0,52931804.0,54327437.0,57003009.0,58194105.0
KILLINGWORTH,14096626.0,14552956.0,15760021.0,16779199.0,18416275.0,19578414.0,20351121.0,20892474.0,19965801.0,19855469.0,21798520.0,21038483.0,20681148.0,20892606.0
LEBANON,16867255.0,17083337.0,17822568.0,19285069.0,20697505.0,21619293.0,28054508.0,23724183.0,23625244.0,23497185.0,23843755.0,24353640.0,25077972.0,25207965.0
LEDYARD,38351082.0,39537003.0,40887445.0,42412063.0,44999226.0,46029460.0,55613368.0,50497347.0,50180445.0,50107766.0,51666931.0,52592944.0,54166873.0,56284947.0
LISBON,9082377.0,9336342.0,9682153.0,10569872.0,10925801.0,11399447.0,12144777.0,12782933.0,12459612.0,12525406.0,13303995.0,13571166.0,13544075.0,13554191.0
LITCHFIELD,18346337.0,19248550.0,20579303.0,21041000.0,23766000.0,25220000.0,31070000.0,26634000.0,26565000.0,27523000.0,28532000.0,28877000.0,29612000.0,30108000.0
LYME,5280855.0,5688690.0,6083343.0,6820708.0,7304520.0,7704848.0,8335658.0,8177813.0,8219601.0,8734285.0,8691592.0,8648469.0,9758139.0,9358355.0
MADISON,45608113.0,47758407.0,52193803.0,54482554.0,58390763.0,62008771.0,78533301.0,70889148.0,72420792.0,74561234.0,76712312.0,78692957.0,82098836.0,82688705.0
MANCHESTER,116860000.0,118148000.0,125356000.0,131215000.0,141350000.0,149877000.0,183294000.0,161447000.0,159424000.0,162409000.0,172232000.0,172932000.0,183274000.0,187073000.0
MANSFIELD,30404300.0,30573247.0,32629278.0,35370517.0,38431838.0,39738868.0,46625037.0,44772222.0,43388918.0,44095898.0,46692221.0,48026600.0,50053639.0,50362505.0
MARLBOROUGH,14003761.0,14570114.0,15333882.0,16310589.0,17837629.0,19462742.0,22613354.0,20583062.0,20792083.0,20921710.0,21696992.0,22295152.0,22344067.0,22574696.0
MERIDEN,143767482.0,152348079.0,160338205.0,162490384.0,167382288.0,178681624.0,209572564.0,187839033.0,175087850.0,182973034.0,191847102.0,196860010.0,194900435.0,199264297.0
MIDDLEBURY,18026862.0,19383973.0,20007856.0,22475966.0,22999807.0,24591182.0,24890255.0,26625692.0,27191443.0,27259887.0,28926020.0,28382195.0,29575270.0,29537590.0
MIDDLEFIELD,10005249.0,10243357.0,11345466.0,11822778.0,12464273.0,12747578.0,13423907.0,14330020.0,13821978.0,14636725.0,15237540.0,15758355.0,16748420.0,16721474.0
MIDDLETOWN,94932000.0,96813000.0,101282000.0,104142000.0,115103000.0,124019000.0,146238000.0,131212000.0,130568000.0,132626000.0,137606000.0,140113000.0,143238000.0,150822000.0
MILFORD,128178000.0,136530000.0,139052000.0,148861000.0,154902000.0,164826000.0,202351000.0,179512000.0,175643000.0,186446000.0,192599000.0,200957000.0,203027000.0,206362000.0
MONROE,50885620.0,52936969.0,54940173.0,57898929.0,62829564.0,68360264.0,86029299.0,74119204.0,75549157.0,77483724.0,80259000.0,82869323.0,85840388.0,85564931.0
MONTVILLE,41471314.0,42980493.0,45843291.0,48140298.0,52145751.0,54195321.0,57232675.0,55600098.0,55560056.0,57144044.0,57496725.0,62889255.0,60806744.0,61968684.0
MORRIS,6066269.0,6388554.0,6751568.0,7313241.0,7712323.0,7924913.0,8094488.0,8150173.0,8098106.0,8183907.0,8270527.0,8583330.0,8495687.0,8734565.0
NAUGATUCK,72868225.0,78078315.0,81825873.0,87201572.0,94705856.0,99348415.0,119679465.0,108126932.0,103132862.0,104071405.0,111502134.0,113975205.0,117785848.0,113941277.0
NEW BRITAIN,177655000.0,188087000.0,195756000.0,196830000.0,205958000.0,210670000.0,249856000.0,219909000.0,208806000.0,211415000.0,229634000.0,230986000.0,230246000.0,232946000.0
NEW CANAAN,74710412.0,81550119.0,87034807.0,93177025.0,103087388.0,109274913.0,116169511.0,119235356.0,121036644.0,125014216.0,129853184.0,133648238.0,145566683.0,146759457.0
NEW FAIRFIELD,36159714.0,37835420.0,39036194.0,41077819.0,43500783.0,45319780.0,46346189.0,48169746.0,47914872.0,49794050.0,51999749.0,53925537.0,56049928.0,56224106.0
NEW HARTFORD,15519903.0,16346045.0,17751679.0,18429414.0,20410523.0,19611422.0,24253987.0,22150237.0,21731738.0,23148847.0,22604284.0,23170098.0,23428724.0,23794709.0
NEW HAVEN,352150888.0,356779487.0,368132461.0,376679435.0,411727439.0,436041417.0,516854707.0,469079142.0,477894161.0,485922103.0,500541567.0,507023591.0,529517012.0,548594672.0
NEW LONDON,72386226.0,68987770.0,67521636.0,70860645.0,76945730.0,79592864.0,92261800.0,83256703.0,79176728.0,79226163.0,83400738.0,84162657.0,86667709.0,88986701.0
NEW MILFORD,71226834.0,69502550.0,76172583.0,79567649.0,84911303.0,88046737.0,105468489.0,93181501.0,92228186.0,94662944.0,98019043.0,100223142.0,103489329.0,106104916.0
NEWINGTON,65609076.0,69210000.0,72258000.0,77687000.0,84886000.0,88458000.0,109930000.0,97026000.0,99848000.0,101169000.0,109950000.0,109859000.0,113251000.0,116064000.0
NEWTOWN,73114936.0,76555157.0,79091271.0,84387478.0,91438830.0,96878619.0,114050867.0,105926028.0,104799321.0,107432162.0,111645165.0,113514676.0,119202654.0,118584112.0
NORFOLK,5302059.0,5384570.0,5614828.0,5947737.0,6481858.0,6716589.0,8008160.0,7214399.0,7158974.0,7372724.0,7415526.0,7480050.0,7460894.0,8018400.0
NORTH BRANFORD,33127687.0,33995777.0,34688167.0,36399463.0,39211194.0,40329905.0,50320621.0,45631554.0,46203166.0,46906243.0,49859783.0,49398663.0,50793886.0,52242002.0
NORTH CANAAN,7897442.0,7845199.0,8138479.0,8272802.0,8864191.0,9491938.0,11099747.0,10617840.0,10805880.0,10471814.0,10616484.0,10831672.0,11263956.0,12232528.0
NORTH HAVEN,64477069.0,65959050.0,65896333.0,69275567.0,75476227.0,77989783.0,80818347.0,84797490.0,81029134.0,88169345.0,88460684.0,89954630.0,93673925.0,94453731.0
NORTH STONINGTON,14254836.0,14500341.0,14903092.0,15274738.0,17219417.0,17191184.0,17310481.0,18357548.0,18473700.0,18879639.0,19461754.0,20104955.0,20358430.0,19620442.0
NORWALK,201888028.0,207814103.0,218675179.0,238741612.0,251641490.0,263386839.0,274289005.0,278839115.0,285935540.0,295375547.0,306767702.0,318941728.0,335874995.0,350494312.0
NORWICH,85856395.0,87029873.0,88045223.0,91808000.0,90373000.0,94872000.0,110164000.0,100989000.0,97645000.0,99336000.0,105596000.0,112150000.0,115388000.0,116214000.0
OLD LYME,20730085.0,22742042.0,23449483.0,25579283.0,26462403.0,28470621.0,29349288.0,30646850.0,31120108.0,31739668.0,32363383.0,33184285.0,33631039.0,33991939.0
OLD SAYBROOK,26102844.0,26778144.0,27236544.0,29114444.0,31963855.0,32998186.0,39782232.0,36466882.0,36930091.0,38311019.0,39517560.0,41005271.0,42968713.0,46788039.0
ORANGE,39505765.0,41649906.0,44629564.0,46770073.0,50964284.0,51265210.0,57410251.0,53762188.0,54201378.0,56177870.0,58516854.0,62872471.0,64537515.0,64900497.0
