Municipality,Net Grand List - 2012 GL Year,Town Code,Numbered
"WEST HAVEN",2819622036.0000,156,156
"WESTBROOK",1134261597.0000,154,157
"WESTON",2660640912.0000,157,158
"WESTPORT",9799546479.0000,158,159
"WETHERSFIELD",2335601900.0000,159,160
"WILLINGTON",479609789.0000,160,161
"WILTON",4237894310.0000,161,162
"WINCHESTER",688379460.0000,162,163
"WINDHAM",962400175.0000,163,164
"WINDSOR",3014228046.0000,164,165
"WINDSOR LOCKS",1269830949.0000,165,166
"WOLCOTT",1257541104.0000,166,167
"WOODBRIDGE",1201171700.0000,167,168
